Major,Requirement,Course Code,Course Title,Credits
"Anthropology, B.A.",Non–L&S students pursuing an L&S major,ANTHRO 490,Undergraduate Seminar,3
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 105,Principles of Biological Anthropology,3
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 300,Cultural Anthropology: Theory and Ethnography,3
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 212,Principles of Archaeology,
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 321,The Emergence of Human Culture,
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 322,The Origins of Civilization,
"Anthropology, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ANTHRO 490,Undergraduate Seminar,3
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 102,Seeing Through Conspiracy Theories,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 104,The Art of Diversity: Race and Representation in the Art and Visual Culture of the United States,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 106,"Have Brush, Will Travel: The Italian Renaissance from Florence to Rome",
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 107,"The Body, Sex, & Health in Art",
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 130,Seeing Race: Anti-Racism and Visual Culture,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 201,History of Western Art I: From Pyramids to Cathedrals,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 202,History of Western Art II: From Renaissance to Contemporary,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 203,Survey of Asian Art,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 205,Global Arts,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 210,A History of the World in 20 Buildings,
"Art History, B.A.",Non–L&S students pursuing an L&S major,HIST 227,The Ends of Modernism,
"Art History, B.A.",Non–L&S students pursuing an L&S major,AFROAMER 241,Introduction to African Art and Architecture,
"Art History, B.A.",Non–L&S students pursuing an L&S major,ARC 264,Dimensions of Material Culture,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 102,Seeing Through Conspiracy Theories,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 104,The Art of Diversity: Race and Representation in the Art and Visual Culture of the United States,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 106,"Have Brush, Will Travel: The Italian Renaissance from Florence to Rome",
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 107,"The Body, Sex, & Health in Art",
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 130,Seeing Race: Anti-Racism and Visual Culture,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 201,History of Western Art I: From Pyramids to Cathedrals,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 202,History of Western Art II: From Renaissance to Contemporary,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 203,Survey of Asian Art,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 205,Global Arts,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 210,A History of the World in 20 Buildings,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,HIST 227,The Ends of Modernism,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,AFROAMER 241,Introduction to African Art and Architecture,
"Art History, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ARC 264,Dimensions of Material Culture,
"Art, BFA",Prospective UW–Madison Applicants,ART 102,Two-Dimensional Design,3
"Art, BFA",Prospective UW–Madison Applicants,ART 104,Three-Dimensional Design,3
"Art, BFA",Prospective UW–Madison Applicants,ART 107,Introduction to Digital Forms,3
"Art, BFA",Prospective UW–Madison Applicants,ART 108,Foundations of Contemporary Art,3
"Art, BFA",Prospective UW–Madison Applicants,ART 208,Current Directions in Art,3
"Art, BFA",Prospective UW–Madison Applicants,ART 212,Drawing Methods & Concepts,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 102,Two-Dimensional Design,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 104,Three-Dimensional Design,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 107,Introduction to Digital Forms,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 108,Foundations of Contemporary Art,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 208,Current Directions in Art,3
"Art, BFA",CURRENT UW–MADISON STUDENTS,ART 212,Drawing Methods & Concepts,3
"Art, BFA",TRANSFER STUDENTS,ART 102,Two-Dimensional Design,3
"Art, BFA",TRANSFER STUDENTS,ART 104,Three-Dimensional Design,3
"Art, BFA",TRANSFER STUDENTS,ART 107,Introduction to Digital Forms,3
"Art, BFA",TRANSFER STUDENTS,ART 108,Foundations of Contemporary Art,3
"Art, BFA",TRANSFER STUDENTS,ART 208,Current Directions in Art,3
"Art, BFA",TRANSFER STUDENTS,ART 212,Drawing Methods & Concepts,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 102,Two-Dimensional Design,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 104,Three-Dimensional Design,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 107,Introduction to Digital Forms,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 108,Foundations of Contemporary Art,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 208,Current Directions in Art,3
"Art, BFA",STUDENTS WITH A PREVIOUS DEGREE,ART 212,Drawing Methods & Concepts,3
"Asian Languages and Cultures, B.A.",Non–L&S students pursuing an L&S major,ASIAN 100,Gateway to Asia: Special Topics,3-4
"Asian Languages and Cultures, B.A.",Introductory Course,ASIAN 100,Gateway to Asia: Special Topics,3-4
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 201,Third Semester Chineseand  Fourth Semester Chinese,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 203,Third Semester Japaneseand  Fourth Semester Japanese,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 205,Third Semester Koreanand  Fourth Semester Korean,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 235,Third Semester Modern Tibetanand  Fourth Semester Modern Tibetan,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 233,Third Semester Hindiand  Fourth Semester Hindi,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 237,Third Semester Persianand  Fourth Semester Persian,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 235,Third Semester Modern Tibetanand  Fourth Semester Modern Tibetan,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 239,Third Semester Urduand  Fourth Semester Urdu,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 241,Third Semester Sanskritand  Fourth Semester Sanskrit,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 243,Third Semester Burmeseand  Fourth Semester Burmese,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 229,Third Semester Thaiand  Fourth Semester Thai,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 223,Third Semester Filipinoand  Fourth Semester Filipino,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 225,Third Semester Hmongand  Fourth Semester Hmong,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 227,Third Semester Indonesianand  Fourth Semester Indonesian,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 245,Third Semester Khmerand  Fourth Semester Khmer,8
"Asian Languages and Cultures, B.A.",Intermediate Language Coursework,ASIALANG 231,Third Semester Vietnameseand  Fourth Semester Vietnamese,8
"Asian Languages and Cultures, B.A.",Humanities,ST 218,Health and Healing in South Asia,3-4
"Asian Languages and Cultures, B.A.",Humanities,ST 236,"Asia Enchanted: Ghosts, Gods, and Monsters",3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 253,Japanese Popular Culture,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 254,,3
"Asian Languages and Cultures, B.A.",Humanities,ST 267,Asian Religions in Global Perspective,3-4
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 268,Tibetan Cultures and Traditions,3
"Asian Languages and Cultures, B.A.",Humanities,ST 274,Religion in South Asia,3
"Asian Languages and Cultures, B.A.",Humanities,ST 307,A Survey of Tibetan Buddhism,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 311,Modern Indian Literatures,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 351,Survey of Classical Chinese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 352,Survey of Modern Chinese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 353,"Lovers, Warriors and Monks: Survey of Japanese Literature",3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 354,Early Modern Japanese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 355,Modern Japanese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 357,Japanese Ghost Stories,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 358,Language in Japanese Society,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 361,Love and Politics: The Tale of Genji,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 367,Haiku,3
"Asian Languages and Cultures, B.A.",Humanities,ST 370,Islam: Religion and Culture,3-4
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 371,Topics in Chinese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 372,Topics in Chinese: Study Abroad,1-6
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 373,Topics in Japanese: Study Abroad,1-6
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 374,,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 375,Survey of Chinese Film,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 376,Manga,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 378,Anime,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 379,Cities of Asia,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 403,Southeast Asian Literature,3
"Asian Languages and Cultures, B.A.",Humanities,ST 405,Gods and Goddesses of South Asia,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 428,Visual Cultures of India,3
"Asian Languages and Cultures, B.A.",Humanities,ST 430,Indian Traditions in the Modern Age,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 432,Introduction to Chinese Linguistics,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 433,Topics in East Asian Visual Cultures,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 434,Introduction to Japanese Linguistics,3
"Asian Languages and Cultures, B.A.",Humanities,ARTS 443,Indian Cinema and Beyond,3
"Asian Languages and Cultures, B.A.",Humanities,ST 444,Introduction to Sufism (Islamic Mysticism),3
"Asian Languages and Cultures, B.A.",Humanities,ST 460,The History of Yoga,3
"Asian Languages and Cultures, B.A.",Humanities,HISTORY 463,Topics in South Asian History,3
"Asian Languages and Cultures, B.A.",Humanities,ST 466,Buddhist Thought,3
"Asian Languages and Cultures, B.A.",Humanities,ST 473,Meditation in Indian Buddhism and Hinduism,3
"Asian Languages and Cultures, B.A.",Humanities,ENGL 478,"Indian Writers Abroad: Literature, Diaspora and Globalization",3
"Asian Languages and Cultures, B.A.",Humanities,ASIALANG 311,First Semester Classical Chinese,3
"Asian Languages and Cultures, B.A.",Humanities,ASIALANG 312,Second Semester Classical Chinese,3
"Asian Languages and Cultures, B.A.",Humanities,ASIALANG 313,Classical Japanese,3
"Asian Languages and Cultures, B.A.",Humanities,ASIALANG 315,First Semester Classical Chinese for Chinese Speakers,3
"Asian Languages and Cultures, B.A.",Humanities,ASIALANG 316,Second Semester Classical Chinese for Chinese Speakers,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 203,Survey of Asian Art,3-4
"Asian Languages and Cultures, B.A.",Humanities,HIST 305,History of Islamic Art and Architecture,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 307,From Tomb to Temple: Ancient Chinese Art and Religion in Transition,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 308,The Tastes of Scholars and Emperors: Chinese Art in the Later Periods,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 372,Arts of Japan,3-4
"Asian Languages and Cultures, B.A.",Humanities,ST 373,Great Cities of Islam,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 375,Later Japanese Painting and Woodblock Prints,3-4
"Asian Languages and Cultures, B.A.",Humanities,HIST 411,Topics in Asian Art,3-4
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 428,Visual Cultures of India,3
"Asian Languages and Cultures, B.A.",Humanities,HIST 475,Japanese Ceramics and Allied Arts,3
"Asian Languages and Cultures, B.A.",Humanities,ASIAN 443,Indian Cinema and Beyond,3
"Asian Languages and Cultures, B.A.",Humanities,THEATRE 321,Javanese Performance,2
"Asian Languages and Cultures, B.A.",Humanities,THEATRE 421,Javanese Performance Repertory,2
"Asian Languages and Cultures, B.A.",Humanities,ST 356,"Islam, Science & Technology, and the Environment",3-4
"Asian Languages and Cultures, B.A.",Humanities,HISTORY 340,Cultural History of Korea,3-4
"Asian Languages and Cultures, B.A.",Humanities,SCI 327,Indian Politics in Comparative Perspective,3
"Asian Languages and Cultures, B.A.",Humanities,HISTORY 332,East Asia & The U.S. Since 1899,3-4
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 262,Survey of Chinese Literature in Translation,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 261,Survey of Chinese Literature in Translation,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 263,Survey of Japanese Literature in Translation,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 264,Survey of Japanese Literature in Translation,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 368,Modern Japanese Fiction,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 373,Topics in Japanese Literature,3
"Asian Languages and Cultures, B.A.",Humanities,LITTRANS 374,Topics in Korean Literature,3
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 103,Introduction to East Asian History: China,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 104,Introduction to East Asian History: Japan,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 108,Introduction to East Asian History - Korea,3-4
"Asian Languages and Cultures, B.A.",Social Science,PSYCH 120,The Art and Science of Human Flourishing,3
"Asian Languages and Cultures, B.A.",Social Science,SOC 244,Introduction to Southeast Asia:  Vietnam to the Philippines,4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 246,"Southeast Asian Refugees of the ""Cold"" War",4
"Asian Languages and Cultures, B.A.",Social Science,ASIAN 252,Contemporary Indian Society,4
"Asian Languages and Cultures, B.A.",Social Science,SCI 255,Introduction to East Asian Civilizations,3-4
"Asian Languages and Cultures, B.A.",Social Science,ASIAN 277,Kendo: Integration of Martial Arts and Liberal Arts,2
"Asian Languages and Cultures, B.A.",Social Science,ASIAN 301,Social Studies Topics in East Asian Studies,3
"Asian Languages and Cultures, B.A.",Social Science,ST 306,Hinduism,3
"Asian Languages and Cultures, B.A.",Social Science,ST 308,Introduction to Buddhism,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 319,The Vietnam Wars,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 335,The Koreas: Korean War to the 21st Century,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 337,"Social and Intellectual History of China, 589 AD-1919",3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 341,"History of Modern China, 1800-1949",3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 342,"History of the Peoples Republic of China, 1949 to the Present",3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 363,China and World War II in Asia,3-4
"Asian Languages and Cultures, B.A.",Social Science,ST 438,Buddhism and Society in Southeast Asian History,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 454,Samurai: History and Image,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 456,"Pearl Harbor & Hiroshima: Japan, the US & The Crisis in Asia",3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 458,History of Southeast Asia Since 1800,3-4
"Asian Languages and Cultures, B.A.",Social Science,AM 170,Hmong American Experiences in the United States,3
"Asian Languages and Cultures, B.A.",Social Science,SOC 220,Ethnic Movements in the United States,3-4
"Asian Languages and Cultures, B.A.",Social Science,AM 441,Hmong American Social Movements in the 20th and 21st Centuries,3
"Asian Languages and Cultures, B.A.",Social Science,ECON 473,Economic Growth and Development in Southeast Asia,3
"Asian Languages and Cultures, B.A.",Social Science,ANTHRO 357,Introduction to the Anthropology of Japan,3-4
"Asian Languages and Cultures, B.A.",Social Science,GEOG 340,World Regions in Global Context,3
"Asian Languages and Cultures, B.A.",Social Science,GEOG 358,Human Geography of Southeast Asia,3
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 142,History of South Asia to the Present,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 144,Traveling the World: South Asians in Diaspora,4
"Asian Languages and Cultures, B.A.",Social Science,GNS 265,An Introduction to Central Asia: From the Silk Route to Afghanistan,3
"Asian Languages and Cultures, B.A.",Social Science,ST 332,East Asia & The U.S. Since 1899,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 336,Chinese Economic and Business History: From Silk to iPhones,3-4
"Asian Languages and Cultures, B.A.",Social Science,ASIAN 341,"History of Modern China, 1800-1949",3-4
"Asian Languages and Cultures, B.A.",Social Science,ST 375,The Cold War - From World War II to End of Soviet Empire,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 450,Making of Modern South Asia,3-4
"Asian Languages and Cultures, B.A.",Social Science,HISTORY 457,History of Southeast Asia to 1800,3-4
"Asian Languages and Cultures, B.A.",Social Science,ASIAN 458,History of Southeast Asia Since 1800,3-4
"Asian Languages and Cultures, B.A.",Social Science,HLTH 640,Foundations in Global Health Practice,1
"Asian Languages and Cultures, B.A.",Social Science,HLTH 644,Interdisciplinary Perspectives on Global Health and Disease,1
"Asian Languages and Cultures, B.A.",Social Science,SCI 322,Politics of Southeast Asia,3-4
"Asian Languages and Cultures, B.A.",Social Science,SCI 323,Islam and World Politics,3-4
"Asian Languages and Cultures, B.A.",Social Science,SCI 324,Chinese Politics,3-4
"Asian Languages and Cultures, B.A.",Social Science,ST 327,Indian Politics in Comparative Perspective,3
"Asian Languages and Cultures, B.A.",Social Science,SCI 328,Politics of East and Southeast Asia,3-4
"Asian Languages and Cultures, B.A.",Social Science,SCI 346,China in World Politics,3-4
"Asian Languages and Cultures, B.A.",Social Science,SOC 225,Contemporary Chinese Society,3
"Asian Languages and Cultures, B.A.",Capstone,ST 505,"The Perfectible Body in Religions, Medicines, and Politics",3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 600,Capstone Seminar in Asian Humanities,3
"Asian Languages and Cultures, B.A.",Capstone,HIST 621,"Mapping, Making, and Representing Colonial Spaces",3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 630,Proseminar: Studies in Cultures of Asia,3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 655,Ethnography in Asia,3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 682,Senior Honors Thesis (must be enrolled in Honors in the Major),3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 692,Senior Thesis (must have permission from faculty),3
"Asian Languages and Cultures, B.A.",Capstone,ASIAN 699,Directed Study (must have permission from faculty),3
"Asian Languages and Cultures, B.A.",Capstone,ASIALANG 405,Seventh Semester Korean,3
"Asian Languages and Cultures, B.A.",Capstone,ASIALANG 406,Eighth Semester Korean,3
"Asian Languages and Cultures, B.A.",Capstone,ASIALANG 421,Seventh Semester Asian Language,3-4
"Asian Languages and Cultures, B.A.",Capstone,ASIALANG 422,Eighth Semester Asian Language,3-4
"Asian Languages and Cultures, B.A.",Capstone,ST 557,Development and Environment in Southeast Asia,3
"Asian Languages and Cultures, B.S.",Non–L&S Students PURSUING AN L&S MAJOR,ASIAN 100,Gateway to Asia: Special Topics,3-4
"Asian Languages and Cultures, B.S.",Introductory Course,ASIAN 100,Gateway to Asia: Special Topics,3-4
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 201,Third Semester Chineseand  Fourth Semester Chinese,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 203,Third Semester Japaneseand  Fourth Semester Japanese,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 205,Third Semester Koreanand  Fourth Semester Korean,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 235,Third Semester Modern Tibetanand  Fourth Semester Modern Tibetan,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 233,Third Semester Hindiand  Fourth Semester Hindi,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 237,Third Semester Persianand  Fourth Semester Persian,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 235,Third Semester Modern Tibetanand  Fourth Semester Modern Tibetan,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 239,Third Semester Urduand  Fourth Semester Urdu,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 241,Third Semester Sanskritand  Fourth Semester Sanskrit,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 243,Third Semester Burmeseand  Fourth Semester Burmese,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 229,Third Semester Thaiand  Fourth Semester Thai,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 223,Third Semester Filipinoand  Fourth Semester Filipino,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 225,Third Semester Hmongand  Fourth Semester Hmong,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 227,Third Semester Indonesianand  Fourth Semester Indonesian,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 245,Third Semester Khmerand  Fourth Semester Khmer,8
"Asian Languages and Cultures, B.S.",Intermediate Language Coursework,ASIALANG 231,Third Semester Vietnameseand  Fourth Semester Vietnamese,8
"Asian Languages and Cultures, B.S.",Humanities,ST 218,Health and Healing in South Asia,3-4
"Asian Languages and Cultures, B.S.",Humanities,ST 236,"Asia Enchanted: Ghosts, Gods, and Monsters",3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 253,Japanese Popular Culture,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 254,,3
"Asian Languages and Cultures, B.S.",Humanities,ST 267,Asian Religions in Global Perspective,3-4
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 268,Tibetan Cultures and Traditions,3
"Asian Languages and Cultures, B.S.",Humanities,ST 274,Religion in South Asia,3
"Asian Languages and Cultures, B.S.",Humanities,ST 307,A Survey of Tibetan Buddhism,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 311,Modern Indian Literatures,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 351,Survey of Classical Chinese Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 352,Survey of Modern Chinese Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 353,"Lovers, Warriors and Monks: Survey of Japanese Literature",3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 354,Early Modern Japanese Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 355,Modern Japanese Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 357,Japanese Ghost Stories,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 358,Language in Japanese Society,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 361,Love and Politics: The Tale of Genji,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 367,Haiku,3
"Asian Languages and Cultures, B.S.",Humanities,ST 370,Islam: Religion and Culture,3-4
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 371,Topics in Chinese Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 372,Topics in Chinese: Study Abroad,1-6
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 373,Topics in Japanese: Study Abroad,1-6
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 374,,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 375,Survey of Chinese Film,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 376,Manga,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 378,Anime,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 379,Cities of Asia,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 403,Southeast Asian Literature,3
"Asian Languages and Cultures, B.S.",Humanities,ST 405,Gods and Goddesses of South Asia,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 428,Visual Cultures of India,3
"Asian Languages and Cultures, B.S.",Humanities,ST 430,Indian Traditions in the Modern Age,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 432,Introduction to Chinese Linguistics,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 433,Topics in East Asian Visual Cultures,3
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 434,Introduction to Japanese Linguistics,3
"Asian Languages and Cultures, B.S.",Humanities,ARTS 443,Indian Cinema and Beyond,3
"Asian Languages and Cultures, B.S.",Humanities,ST 444,Introduction to Sufism (Islamic Mysticism),3
"Asian Languages and Cultures, B.S.",Humanities,ST 460,The History of Yoga,3
"Asian Languages and Cultures, B.S.",Humanities,HISTORY 463,Topics in South Asian History,3
"Asian Languages and Cultures, B.S.",Humanities,ST 466,Buddhist Thought,3
"Asian Languages and Cultures, B.S.",Humanities,ST 473,Meditation in Indian Buddhism and Hinduism,3
"Asian Languages and Cultures, B.S.",Humanities,ENGL 478,"Indian Writers Abroad: Literature, Diaspora and Globalization",3
"Asian Languages and Cultures, B.S.",Humanities,ASIALANG 311,First Semester Classical Chinese,3
"Asian Languages and Cultures, B.S.",Humanities,ASIALANG 312,Second Semester Classical Chinese,3
"Asian Languages and Cultures, B.S.",Humanities,ASIALANG 313,Classical Japanese,3
"Asian Languages and Cultures, B.S.",Humanities,ASIALANG 315,First Semester Classical Chinese for Chinese Speakers,3
"Asian Languages and Cultures, B.S.",Humanities,ASIALANG 316,Second Semester Classical Chinese for Chinese Speakers,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 203,Survey of Asian Art,3-4
"Asian Languages and Cultures, B.S.",Humanities,HIST 305,History of Islamic Art and Architecture,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 307,From Tomb to Temple: Ancient Chinese Art and Religion in Transition,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 308,The Tastes of Scholars and Emperors: Chinese Art in the Later Periods,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 372,Arts of Japan,3-4
"Asian Languages and Cultures, B.S.",Humanities,ST 373,Great Cities of Islam,3
"Asian Languages and Cultures, B.S.",Humanities,HIST 375,Later Japanese Painting and Woodblock Prints,3-4
"Asian Languages and Cultures, B.S.",Humanities,HIST 411,Topics in Asian Art,3-4
"Asian Languages and Cultures, B.S.",Humanities,ASIAN 428,Visual Cultures of India,3
